"platform_key","platform_name","short_name","company","generation","release_year","media_type","cpu_specs","primary_emulators","total_games_in_collection","total_rom_size_mb","games_with_descriptions","games_with_covers","games_with_screenshots","description"
"arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1971","Arcade PCB / ROM Borð","Mismunandi eftir vélbúnaði (Z80, Motorola 68000, CPS-1/2/3, Neo Geo MVS o.fl.)","MAME, FinalBurn Neo, RetroArch (FBNeo/MAME)","3052","11121.99","2890","3030","3050","Spilakassar og leikjasalir. Inniheldur klassíska spilakassaleiki frá gullöld leikjasala."
"nes","Nintendo Entertainment System (NES) / Famicom","NES","Nintendo","3. kynslóð (8-bit)","1983","ROM Hylki (Cartridge)","Ricoh 2A03 8-bit örgjörvi @ 1.79 MHz (NTSC) / 1.66 MHz (PAL)","Mesen, Nestopia UE, FCEUmm, RetroArch","1869","166.08","1868","1825","1830","Ein áhrifamesta 8-bita leikjavél allra tíma sem endurlífgaði tölvuleikjaiðnaðinn eftir hrunið 1983."
"fds","Famicom Disk System","FDS","Nintendo","3. kynslóð (8-bit viðbót)","1986","Seguldiskar (Quick Disk 2.8"")","Ricoh 2A03 (notar Famicom CPU) + sérstakur hljóðkubbur og RAM millistykki","Mesen, Nestopia, RetroArch","264","11.67","264","263","263","Sérstök diskadrifs-viðbót við Famicom í Japan sem bauð upp á endurskrifanlega leikjadiska og aukið hljóðminni."
"gb","Nintendo Game Boy","Game Boy","Nintendo","4. kynslóð (8-bit Handheld)","1989","ROM Hylki (Game Boy Game Pak)","Sharp LR35902 8-bit @ 4.19 MHz (Z80/8080 blendingur)","SameBoy, Gambatte, mGBA, RetroArch","1044","113.88","1039","1014","1015","Byltingarkennd ferðatölva hönnuð af Gunpei Yokoi með grængráum punktafylkiskjá og gríðarlegri rafhlöðuendingu."
"megadrive","Sega Mega Drive / Genesis","Mega Drive","Sega","4. kynslóð (16-bit)","1988","ROM Hylki (Mega Drive Cartridge)","Motorola 68000 @ 7.6 MHz + Zilog Z80 @ 3.58 MHz","Genesis Plus GX, BlastEm, Picodrive, RetroArch","2682","574.55","2682","2606","2616","16-bita flaggskip Sega sem keppti við SNES í hinum frægu „Console Wars“ á 10. áratugnum með Sonic the Hedgehog."
"sega32x","Sega 32X","Sega 32X","Sega","4./5. kynslóð (32-bit viðbót)","1994","ROM Hylki (32X Cartridge)","Tveir Hitachi SH-2 32-bit RISC örgjörvar @ 23 MHz","Picodrive, RetroArch","39","113.5","39","39","39","32-bita viðbótarbúnaður á Sega Mega Drive sem jók vinnslugetu og grafíkgetu fyrir 3D og ríkari liti."
"neogeo","SNK Neo Geo AES / MVS","Neo Geo","SNK","4. kynslóð (24-bit / 16-bit High-End)","1990","Stór ROM Hylki (Max 330-716 Mbit)","Motorola 68000 @ 12 MHz + Zilog Z80A @ 4 MHz","FinalBurn Neo, FBNeo, RetroArch, MAME","75","1481.06","74","74","74","Öflugasta 2D leikjavél síns tíma sem færði óskerta spilakassaleiki beint inn á heimilið í gegnum AES hylki."
"snes","Super Nintendo Entertainment System (SNES) / Super Famicom","SNES","Nintendo","4. kynslóð (16-bit)","1990","ROM Hylki (SNES Cartridge)","Ricoh 5A22 16-bit @ 3.58 MHz (WDC 65C816 kjarni) + Sony SPC700 hljóðörgjörvi","Snes9x, bsnes, Mesen-S, RetroArch","1363","2076.92","1361","1331","1331","Ein dáðasta 16-bita leikjavél sögunnar, þekkt fyrir Mode 7 grafík, byltingarkennda hljóðtækni og ódauðlega leiki."
"saturn","Sega Saturn","Saturn","Sega","5. kynslóð (32-bit)","1994","CD-ROM (Geisladiskar)","Tveir Hitachi SH-2 32-bit RISC @ 28.6 MHz + VDP1 & VDP2 myndörgjörvar","Beetle Saturn (Mednafen), Kronos, YabaSanshiro, RetroArch","246","63067.06","246","244","244","32-bita leikjavél Sega með flóknum fjölkjarna arkitektúr, heimsþekkt fyrir 2D bardagaleiki og sértrúar-3D perlur."
"n64","Nintendo 64","Nintendo 64","Nintendo","5. kynslóð (64-bit)","1996","ROM Hylki (N64 Cartridge)","NEC VR4300 64-bit RISC @ 93.75 MHz + SGI Reality Coprocessor (RCP) @ 62.5 MHz","Simple64 (Mupen64Plus), Parallel N64, RetroArch","380","5928.23","375","372","374","Fyrsta 64-bita leikjavél Nintendo sem setti staðalinn fyrir 3D stýringu með hliðrænum stýripinna (analog stick) og 3D myndavélarkerfi."
"gbc","Nintendo Game Boy Color","Game Boy Color","Nintendo","5. kynslóð (8-bit Handheld Color)","1998","ROM Hylki (GBC Cartridge)","Sharp LR35902 @ 8.38 MHz (tvöfaldur hraði á Game Boy)","SameBoy, Gambatte, mGBA, RetroArch","983","442.07","979","940","955","Litaskjás-arftaki Game Boy með öflugri örgjörva, meira vinnsluminni og stuðningi við allt að 56 liti samtímis."
"dreamcast","Sega Dreamcast","Dreamcast","Sega","6. kynslóð (128-bit)","1998","GD-ROM (1.2 GB sérdiskar)","Hitachi SH-4 32-bit RISC @ 200 MHz + NEC PowerVR2 DC grafíkflaga","Flycast, Redream, RetroArch","378","158508.16","378","373","373","Fyrsta 6. kynslóðar leikjavélin, búin innbyggðu 56k mótalds-netkorti, VMU minniskortum með skjá og glæsilegri 128-bita grafík."
"gba","Nintendo Game Boy Advance","Game Boy Advance","Nintendo","6. kynslóð (32-bit Handheld)","2001","Lítil ROM Hylki (GBA Game Pak)","ARM7TDMI 32-bit RISC @ 16.78 MHz + Z80 συνεξεργαστής fyrir samhæfni","mGBA, VBA-Next, RetroArch","1216","8902.93","1211","1148","1176","Gríðarlega vinsæl 32-bita ferðatölva sem virkaði eins og flytjanleg ofur-SNES með glæsilegri 2D og faux-3D grafík."
"wiiu","Nintendo Wii U","Wii U","Nintendo","8. kynslóð (HD Console)","2012","Wii U Optical Disc (25 GB)","IBM PowerPC 750-based Espresso Tri-Core @ 1.24 GHz + AMD Radeon Latte GPU","Cemu, RetroArch","12","35566.06","12","10","10","Fyrsta HD leikjavél Nintendo sem kynnti til sögunnar Wii U GamePad með snertiskjá fyrir tveggja-skjáa spilun."
