"type","name","game_count"
"Developer","SEGA","786"
"Developer","Konami","525"
"Developer","Capcom","325"
"Developer","Taito","316"
"Developer","Namco","310"
"Developer","Nintendo","263"
"Developer","Data East","188"
"Developer","TOSE","172"
"Developer","SNK","169"
"Developer","Atari","134"
"Developer","Hudson Soft","121"
"Developer","Jaleco","114"
"Developer","Midway","103"
"Developer","Rareware","99"
"Developer","Natsume","99"
"Developer","Sunsoft","97"
"Developer","BlueSky Software","94"
"Developer","Tecmo","88"
"Developer","Koei","85"
"Developer","Irem","79"
"Developer","Beam Software","67"
"Developer","Electronic Arts","67"
"Developer","Sculptured Software","65"
"Developer","ADK","62"
"Developer","HAL Laboratory","62"
"Developer","Software Creations","61"
"Developer","Realtime Associates","60"
"Developer","Technos Japan","58"
"Developer","Ocean","56"
"Developer","Nichibutsu","54"
"Developer","Toaplan","53"
"Developer","Human Entertainment","53"
"Developer","Iguana Entertainment","52"
"Developer","Digital Eclipse","52"
"Developer","Vicarious Vision","52"
"Developer","Tengen","50"
"Developer","Probe Software","50"
"Developer","Compile","49"
"Developer","Atlus","48"
"Developer","Imagineer","48"
"Developer","Tiertex","48"
"Developer","Kaneko","47"
"Developer","Novotrade","46"
"Developer","Infogrames","45"
"Developer","Bandai","44"
"Developer","Bally Midway","43"
"Developer","Sonic Team","43"
"Developer","Banpresto","42"
"Developer","Treasure","42"
"Developer","Sachen","41"
"Developer","Codemasters","40"
"Developer","Virgin","40"
"Developer","Now Production","38"
"Developer","Climax","37"
"Developer","Graphic Research","36"
"Developer","Culture Brain","36"
"Developer","Park Place Productions","35"
"Developer","Visual Concepts","35"
"Developer","NMK","34"
"Developer","ASCII","33"
"Developer","Kemco","33"
"Developer","Ubisoft","33"
"Developer","Gray Matter","33"
"Developer","Visco","32"
"Developer","Mimi-Pro","32"
"Developer","Crawfish Interactive","32"
"Developer","Kindle Imagine Develop","31"
"Developer","Square","31"
"Developer","Altron","31"
"Developer","Intelligent Systems","30"
"Developer","Eurocom","30"
"Developer","Torus Games","30"
"Developer","Titus","29"
"Developer","Sims","29"
"Developer","High Score Productions","29"
"Developer","Accolade","28"
"Developer","Wolf Team","28"
"Developer","Bit Managers","27"
"Developer","Micronics","27"
"Developer","Exidy","26"
"Developer","Cave","26"
