"game_id","title","platform_key","platform_name","platform_short","platform_company","platform_generation","release_date","release_year","decade","developer","publisher","genre_detailed","genre_category","players_raw","players_min","players_max","rating_score_pct","rating_stars_5","description","rom_filename","rom_extension","rom_size_mb","has_cover_image","has_mix_image","has_screenshot","has_titlescreen","has_3d_box","has_backcover","has_marquee","has_fanart","cover_image_path","mix_image_path","screenshot_path","titlescreen_path","box3d_path","backcover_path","marquee_path"
"arcade_a-day-in-space","A Day In Space","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1987-03-31","1987","1980s","EFO SA / Cedar","EFO SA / Cedar","Shoot'em Up / Horizontal","Shooter","1-2","1","2","40","2","void obstacles, collect items, and explore the universe with simple graphics and addictive gameplay.","mag_day.zip","ZIP","0.25","true","true","true","true","true","true","true","true","covers/arcade/mag_day.png","miximages/arcade/mag_day.png","screenshots/arcade/mag_day.png","titlescreens/arcade/mag_day.png","3dboxes/arcade/mag_day.png","backcovers/arcade/mag_day.png","marquees/arcade/mag_day.png"
"arcade_amazing-maze","Amazing Maze","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1976-01-01","1976","1970s","Midway","Midway","Action / Labyrinth","Action","1-2","1","2","30","1.5","Each player (up to 2 people may play at a time, 2-player mode is more fun), controls a little geometric shape. Each player starts at opposite sides of the maze. The object is to get to the point where the other player started, before they get to where you started. You use a joystick to guide your 'character' through the maze. The game is time based, and you score a point for each maze you beat faster than your opponent (or the computer player if you are going solo). The factory setting is for a 90 second game, but this is operator adjustable. The graphics are done in monochrome white on black. With no detail on anything. The maze walls are only a pixel thick, while the characters themselves (simple shapes), are not much bigger. The mazes are not stylized in anyway. They look exactly like the kind of maze you would do with a paper and pen.","maze.zip","ZIP","0","true","true","true","true","true","false","true","true","covers/arcade/maze.png","miximages/arcade/maze.png","screenshots/arcade/maze.png","titlescreens/arcade/maze.png","3dboxes/arcade/maze.png","","marquees/arcade/maze.png"
"arcade_astro-chase","Astro Chase","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1982-01-01","1982","1980s","First Star Software","First Star Software","Shoot'em Up / Horizontal","Shooter","1","1","1","30","1.5","Arcades conversion. For more information about the gale itself, please refer to the original Atari 8-Bits version entry.","mf_achas.zip","ZIP","0.02","true","true","true","true","true","false","true","false","covers/arcade/mf_achas.png","miximages/arcade/mf_achas.png","screenshots/arcade/mf_achas.png","titlescreens/arcade/mf_achas.png","3dboxes/arcade/mf_achas.png","","marquees/arcade/mf_achas.png"
"arcade_boulder-dash","Boulder Dash","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1985-01-01","1985","1980s","Data East","Data East","Action / Labyrinth","Action","1","1","1","50","2.5","You're Rockford and have to dig through monster infested caves in search of diamonds. In each level you must collect a certain number of these diamonds, in order to open a portal to the next stage. Enemies can be squashed by falling boulders, which are released when the ground below them is removed or they are pushed onto empty ground, but be careful because these can also squash you. In later levels, difficulty is increased by many puzzle elements and shorter time limits.","mf_bdash.zip","ZIP","0.02","true","true","true","true","true","true","true","false","covers/arcade/mf_bdash.png","miximages/arcade/mf_bdash.png","screenshots/arcade/mf_bdash.png","titlescreens/arcade/mf_bdash.png","3dboxes/arcade/mf_bdash.png","backcovers/arcade/mf_bdash.png","marquees/arcade/mf_bdash.png"
"arcade_bristles","Bristles","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1983-01-01","1983","1980s","First Star Software","Exidy","Platform","Platformer","1","1","1","30","1.5","A carpenter named Peter tries to paint a house in this platform game.","mf_brist.zip","ZIP","0.02","true","true","true","true","true","false","true","false","covers/arcade/mf_brist.png","miximages/arcade/mf_brist.png","screenshots/arcade/mf_brist.png","titlescreens/arcade/mf_brist.png","3dboxes/arcade/mf_brist.png","","marquees/arcade/mf_brist.png"
"arcade_columns-iii-mega-play","Columns III (Mega Play)","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1993-01-01","1993","1990s","SEGA","SEGA","Puzzle","Puzzle","1-2","1","2","50","2.5","Align 3 or more items of the same colour vertically, horizontally or diagonally.","mp_col3.zip","ZIP","0.3","true","true","true","true","true","true","true","true","covers/arcade/mp_col3.png","miximages/arcade/mp_col3.png","screenshots/arcade/mp_col3.png","titlescreens/arcade/mp_col3.png","3dboxes/arcade/mp_col3.png","backcovers/arcade/mp_col3.png","marquees/arcade/mp_col3.png"
"arcade_flip-and-flop","Flip and Flop","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1983-01-01","1983","1980s","Unknown","First Star Software","Platform","Platformer","1","1","1","50","2.5","Flip &amp; Flop is a kind of Pac-Man in isometric graphics on platforms which are connected by ladders. The player controls alternately Flip, a kangaroo, who jumps around on the platforms and Mitch, an ape, who hangs along the platforms. A zoo-keeper tries to catch Flip, and Mitch is being chased by a net. There are sticky fields on which one may lure keeper and net, where they are caught for some seconds. If the player runs beyond the border, he falls off the playing field and loses a life. The goal is to pass all marked fields. Every five levels there is a short sequence with a small circus presentation. In Level 13, the maximum playing field size is reached, later fields must be uncovered twice, and even later there aren't any more sticky fields in the level.","mf_flip.zip","ZIP","0.03","true","true","true","true","true","true","true","false","covers/arcade/mf_flip.png","miximages/arcade/mf_flip.png","screenshots/arcade/mf_flip.png","titlescreens/arcade/mf_flip.png","3dboxes/arcade/mf_flip.png","backcovers/arcade/mf_flip.png","marquees/arcade/mf_flip.png"
"arcade_golden-axe-ii-mega-tech","Golden Axe II (mega-tech)","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1991-01-01","1991","1990s","SEGA","SEGA","Beat'em Up","Beat 'em up","1-2","1","2","50","2.5","Not long after the malign reign of the Death Adder has ended, another evil rises. The peace of the land has again been threatened, this time by 'Dark Guld', who was supposed to be imprisoned but apparently is not. He has instead now gotten his hands on the Golden Axe, and is using it for his own nasty purposes, and with his minions is causing much chaos.

So once more, Ax-Battler, the fierce barbarian; Tyris-Flare, the fearless Amazon; Gilius Thunderhead, the ferocious dwarf, rise up to deal with the oppression, with their might and magic, and recover the Golden Axe.","mp_gaxe2.zip","ZIP","0.39","true","true","true","true","true","true","true","true","covers/arcade/mp_gaxe2.png","miximages/arcade/mp_gaxe2.png","screenshots/arcade/mp_gaxe2.png","titlescreens/arcade/mp_gaxe2.png","3dboxes/arcade/mp_gaxe2.png","backcovers/arcade/mp_gaxe2.png","marquees/arcade/mp_gaxe2.png"
"arcade_grand-slam","Grand Slam","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1993-01-01","1993","1990s","SEGA","SEGA","Sports / Tennis","Sports","1-2","1","2","50","2.5","""GrandSlam"" is a 1993 tennis game released in arcades by Sega Enterprise for the Sega Mega Play console. It is one of only 10 games released for this console. A similar version of the game, GrandSlam: The Tennis Tournament '92, exists for the Sega Mega Drive console.","mp_gslam.zip","ZIP","0.26","true","true","true","true","true","true","true","false","covers/arcade/mp_gslam.png","miximages/arcade/mp_gslam.png","screenshots/arcade/mp_gslam.png","titlescreens/arcade/mp_gslam.png","3dboxes/arcade/mp_gslam.png","backcovers/arcade/mp_gslam.png","marquees/arcade/mp_gslam.png"
"arcade_inferno-meadows","Inferno (Meadows)","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1978-01-01","1978","1970s","Meadows Games","Unknown","Shoot'em Up","Shooter","1-2","1","2","10","0.5","INFERNO is a one or two player video game simulating every kids dream at one time or another of being a fireman (or a ""fireperson"" in keeping with the current vernacular).

The player(s) control the movement and position of the firefighter on the ladder moving in a vertical direction on the outside left and right edges of the T.V. monitor. The player(s) also control the movement and position of the firetruck moving in a horizontal direction on the extreme bottom edge of the T.V. monitor.","minferno.zip","ZIP","0","true","true","true","true","true","true","true","false","covers/arcade/minferno.png","miximages/arcade/minferno.png","screenshots/arcade/minferno.png","titlescreens/arcade/minferno.png","3dboxes/arcade/minferno.png","backcovers/arcade/minferno.png","marquees/arcade/minferno.png"
"arcade_kiki-ippatsu-mayumi-chan","Kiki-ippatsu Mayumi-chan","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1988-01-01","1988","1980s","Sanritsu Denki","Victory","Unknown","Unknown","1","1","1","","","A mahjong game with cheerleaders and a password feature.","mayumi.zip","ZIP","0.14","true","true","true","true","true","true","true","false","covers/arcade/mayumi.png","miximages/arcade/mayumi.png","screenshots/arcade/mayumi.png","titlescreens/arcade/mayumi.png","3dboxes/arcade/mayumi.png","backcovers/arcade/mayumi.png","marquees/arcade/mayumi.png"
"arcade_m-4","M-4","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1977-01-01","1977","1970s","Midway","Midway","Shooter","Shooter","1-2","1","2","10","0.5","M-4 (c) 1977 Midway.  - TECHNICAL -  Game No. 626  Main CPU : 8080 (@ 1.9968 Mhz)  Screen orientation : Horizontal Video resolution : 256 x 224 pixels Screen refresh : 60.00 Hz Palette colors : 2  Players : 2 Control : 2-way joystick Buttons : 2  - TRIVIA","m4.zip","ZIP","0.01","true","true","true","true","true","false","true","true","covers/arcade/m4.png","miximages/arcade/m4.png","screenshots/arcade/m4.png","titlescreens/arcade/m4.png","3dboxes/arcade/m4.png","","marquees/arcade/m4.png"
"arcade_m-79-ambush","M-79 Ambush","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1977-01-01","1977","1970s","Unknown","RamTek","Shooter","Shooter","1-2","1","2","30","1.5","A really great action game! This is a shooting game where tanks, jeeps and motorcycles battle it out in front of the two cannons under U.N. observation. Bang! When the enemy is hit, an explosion sequence occurs complete with the sounds of gunfire, whistles and whines - the action goes on and on!","m79amb.zip","ZIP","0.01","true","true","true","true","true","true","true","false","covers/arcade/m79amb.png","miximages/arcade/m79amb.png","screenshots/arcade/m79amb.png","titlescreens/arcade/m79amb.png","3dboxes/arcade/m79amb.png","backcovers/arcade/m79amb.png","marquees/arcade/m79amb.png"
"arcade_m-a-c-h-3","M.A.C.H. 3","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1983-01-01","1983","1980s","Mylstar Electronics","Mylstar Electronics","Shoot'em Up","Shooter","1","1","1","90","4.5","In M.A.C.H. 3, you pilot either a Fighter plane or a Bomber plane and must fly around hitting targets on the ground or in the air while avoiding enemy fire. M.A.C.H. 3 used video footage from the laser disc and overlaid computer graphics for your ship and the enemy ships.","mach3.zip","ZIP","0.05","true","true","true","true","true","true","true","true","covers/arcade/mach3.png","miximages/arcade/mach3.png","screenshots/arcade/mach3.png","titlescreens/arcade/mach3.png","3dboxes/arcade/mach3.png","backcovers/arcade/mach3.png","marquees/arcade/mach3.png"
